Ω√ØÃﬂ#7
,øÿØƒﬁóvëfî‘çÜ,ëYê´Ç–Ç∏Ç›(X),ëYê´Ç–Ç∏Ç›(Y),ëYê´Ç–Ç∏Ç›(Z),ëYê´Ç–Ç∏Ç›(XY),ëYê´Ç–Ç∏Ç›(YZ),ëYê´Ç–Ç∏Ç›(ZX)
1,1,0,0,0,0,0,0
2,2,0,0,0,0,0,0
3,3,0,0,0,0,0,0
4,4,0,0,0,0,0,0
5,5,0,0,0,0,0,0
6,6,0,0,0,0,0,0
7,7,0,0,0,0,0,0
8,8,0,0,0,0,0,0
9,9,-7.44725402910262e-05,0.00013535151083488,-6.08789741818327e-05,3.74740338884294e-05,3.76965945179109e-05,-4.75092856504489e-05
10,10,-0.000587378977797925,0.00123939185868949,-0.000652012880891562,0.000112494890345261,0.000232493955991231,-0.00056433881400153
11,11,0,0,0,0,0,0
12,12,0,0,0,0,0,0
13,13,0,0,0,0,0,0
14,14,0,0,0,0,0,0
15,15,0,0,0,0,0,0
16,16,0,0,0,0,0,0
17,17,0,0,0,0,0,0
18,18,0,0,0,0,0,0
19,19,-1.24202074403001e-06,3.38934773935762e-06,-2.1473269953276e-06,2.01188026949239e-06,1.52693849031493e-06,-2.96828204682242e-07
20,20,-0.00014820798241999,0.000481763010611758,-0.000333555042743683,0.000121523407869972,6.69454457238317e-05,-4.99853085784707e-05
21,21,0,0,0,0,0,0
22,22,0,0,0,0,0,0
23,23,0,0,0,0,0,0
24,24,0,0,0,0,0,0
25,25,0,0,0,0,0,0
26,26,0,0,0,0,0,0
27,27,0,0,0,0,0,0
28,28,0,0,0,0,0,0
29,29,-7.79603578848764e-06,1.3159285117581e-05,-5.36324887434603e-06,8.85540521267103e-06,5.92403284827014e-06,8.60597992868861e-06
30,30,-0.000225868003326468,0.000372104026610032,-0.000146236023283564,7.69319522078149e-05,7.12852415745147e-05,0.000135630762088113
31,31,0,0,0,0,0,0
32,32,0,0,0,0,0,0
33,33,0,0,0,0,0,0
34,34,0,0,0,0,0,0
35,35,0,0,0,0,0,0
36,36,0,0,0,0,0,0
37,37,0,0,0,0,0,0
38,38,0,0,0,0,0,0
39,39,-3.5786517400993e-05,3.42442144756205e-05,1.54230372118036e-06,1.5584542779834e-05,1.10691962618148e-05,1.62173109856667e-05
40,40,-0.000379691337002441,0.000443267490481958,-6.35761316516437e-05,5.62201275897678e-05,7.37708760425448e-05,9.85252627287991e-05
41,41,0,0,0,0,0,0
42,42,0,0,0,0,0,0
43,43,0,0,0,0,0,0
44,44,0,0,0,0,0,0
45,45,0,0,0,0,0,0
46,46,0,0,0,0,0,0
47,47,0,0,0,0,0,0
48,48,0,0,0,0,0,0
49,49,-6.49245193926618e-05,5.92964715906419e-05,5.62804871151457e-06,2.77425624517491e-05,2.53121015703073e-05,2.85595888271928e-05
50,50,-0.000357989047188312,0.000422130018705502,-6.41409933450632e-05,5.15425672347192e-05,8.92942989594303e-05,9.50597095652483e-05
51,51,0,0,0,0,0,0
52,52,0,0,0,0,0,0
53,53,0,0,0,0,0,0
54,54,0,0,0,0,0,0
55,55,0,0,0,0,0,0
56,56,0,0,0,0,0,0
57,57,0,0,0,0,0,0
58,58,0,0,0,0,0,0
59,59,-0.00015217621694319,0.000116109185910318,3.60670273948926e-05,4.65252269350458e-05,5.28231212229002e-05,7.82695133239031e-05
60,60,-0.000504271883983165,0.000527855474501848,-2.35835996136302e-05,4.43982207798399e-05,0.000118082491098903,0.000182615622179583
61,61,0,0,0,0,0,0
62,62,0,0,0,0,0,0
63,63,0,0,0,0,0,0
64,64,0,0,0,0,0,0
65,65,0,0,0,0,0,0
66,66,0,0,0,0,0,0
67,67,0,0,0,0,0,0
68,68,0,0,0,0,0,0
69,69,-0.000275326601695269,0.000191946630366147,8.33799640531652e-05,6.64254184812307e-05,9.54440329223871e-05,0.000140615084092133
70,70,-0.000634369731415063,0.000627756759058684,6.61299645798863e-06,5.20149296789896e-05,0.000164687662618235,0.000215549705899321
71,71,0,0,0,0,0,0
72,72,0,0,0,0,0,0
73,73,0,0,0,0,0,0
74,74,0,0,0,0,0,0
75,75,0,0,0,0,0,0
76,76,0,0,0,0,0,0
77,77,0,0,0,0,0,0
78,78,0,0,0,0,0,0
79,79,-0.00035758173908107,0.000245430303039029,0.000112151457869913,7.21808173693717e-05,0.00012408931797836,0.000187051729881205
80,80,-0.000723469478543848,0.000718518160283566,4.95126550958958e-06,4.46101003035437e-05,0.000167865262483247,0.000250831944867969
81,81,0,0,0,0,0,0
82,82,0,0,0,0,0,0
83,83,0,0,0,0,0,0
84,84,0,0,0,0,0,0
85,85,0,0,0,0,0,0
86,86,0,0,0,0,0,0
87,87,0,0,0,0,0,0
88,88,-2.82011005765526e-05,1.76581925188657e-05,1.05429089671816e-05,8.96627716429066e-06,7.83875566412462e-06,1.68661281350069e-05
89,89,-0.000440697214799002,0.000300514424452558,0.000140182790346444,7.44789504096843e-05,0.000162319978699088,0.000231328580412082
